timestamp_sec,ego_x,ego_y,ego_yaw,ego_velocity,ai_x,ai_y,ai_yaw,mppi_mode,throttle,steering
1777586141.458282,22.453613,-35.526990,-0.018277,13.473580,22.000000,-40.000000,0.000000,1,1.526420,-0.500000
1777586141.519798,22.589912,-35.534965,-0.020677,13.437028,22.100000,-40.000000,0.000000,1,0.190167,-0.144547
1777586141.521143,22.985392,-35.558761,-0.027838,13.328028,22.400000,-40.000000,0.000000,1,1.671972,-0.500000
1777586141.521992,23.118904,-35.565909,-0.030212,13.291911,22.500000,-40.000000,0.000000,1,1.708089,-0.500000
1777586141.522922,23.250916,-35.572596,-0.032580,13.255904,22.600000,-40.000000,0.000000,1,1.744096,-0.500000
1777586141.523741,23.383262,-35.581303,-0.034941,13.220004,22.700000,-40.000000,0.000000,1,1.779996,-0.500000
1777586141.524540,23.516665,-35.590680,-0.037297,13.150004,22.800000,-40.000000,0.000000,1,1.849996,-0.500000
1777586141.525315,23.647323,-35.609330,-0.044537,13.125796,22.900000,-40.000000,0.000000,1,1.874204,-0.500000
1777586141.526110,23.777748,-35.626342,-0.051763,13.101660,23.000000,-40.000000,0.000000,1,1.898340,-0.500000
1777586141.526891,23.905909,-35.641770,-0.058975,13.077596,23.100000,-40.000000,0.000000,1,1.922404,-0.500000
1777586141.533315,24.419926,-35.729117,-0.087696,12.987800,23.500000,-40.000000,0.000000,1,2.012200,-0.478343
1777586141.553435,24.681004,-35.777699,-0.101676,12.954390,23.700000,-40.000000,0.000000,1,2.045610,-0.448176
1777586141.583432,25.068306,-35.851779,-0.121234,12.904851,24.000000,-40.000000,0.000000,1,2.095149,-0.401861
1777586141.603453,25.319225,-35.900645,-0.133277,12.877209,24.200000,-40.000000,0.000000,1,2.122791,-0.371338
1777586141.633460,25.701244,-35.986771,-0.149422,12.829777,24.500000,-40.000000,0.000000,1,2.170223,-0.316180
1777586141.653534,25.956171,-36.039524,-0.159081,12.803722,24.700000,-40.000000,0.000000,1,2.196278,-0.281673
1777586141.683418,26.326470,-36.119649,-0.171388,12.758554,25.000000,-40.000000,0.000000,1,2.241446,-0.229227
1777586141.703629,26.576932,-36.176591,-0.178511,12.732113,25.200000,-40.000000,0.000000,1,2.267887,-0.191248
1777586141.733509,26.950154,-36.261354,-0.187008,12.688819,25.500000,-40.000000,0.000000,1,2.311181,-0.133649
1777586141.753461,27.201801,-36.320174,-0.191506,12.662595,25.700000,-40.000000,0.000000,1,2.337405,-0.092992
1777586141.783478,27.574368,-36.401865,-0.195917,12.620706,26.000000,-40.000000,0.000000,1,2.379294,-0.035818
1777586141.803450,27.817558,-36.456660,-0.197689,12.594059,26.200000,-40.000000,0.000000,1,2.405941,0.002449
1777586141.833441,28.187883,-36.530547,-0.198114,12.553318,26.500000,-40.000000,0.000000,1,2.446682,0.055496
1777586141.853504,28.439513,-36.575218,-0.197321,12.526424,26.700000,-40.000000,0.000000,1,2.473576,0.087745
1777586141.883528,28.802361,-36.646344,-0.194170,12.487184,27.000000,-40.000000,0.000000,1,2.512816,0.137401
1777586141.903563,29.050862,-36.687740,-0.191105,12.460460,27.200000,-40.000000,0.000000,1,2.539540,0.100287
1777586141.933465,29.418623,-36.756507,-0.186514,12.426314,27.500000,-40.000000,0.000000,1,2.573686,0.068501
1777586141.953455,29.662298,-36.796405,-0.184227,12.404305,27.700000,-40.000000,0.000000,1,2.595695,0.043459
